Time,dust_1,dust_2_5,dust_10
2020-02-05T12:31:11Z,12.63,17.57,20.44
2020-02-05T12:29:16Z,12.19,18.2,33.4
2020-02-05T12:19:55Z,10.63,15.95,43.47
2020-02-05T11:59:55Z,11.31,18.48,32.37
2020-02-05T11:58:00Z,11.75,17.73,44.73
2020-02-05T11:56:11Z,11.32,16.14,19.24
2020-02-05T11:53:10Z,12.04,18.54,24.88
2020-02-05T11:48:55Z,12.13,19.54,33.02
2020-02-05T11:47:00Z,12.12,20.67,30.99
2020-02-05T11:45:04Z,11.65,17.6,53.01
2020-02-05T11:43:08Z,11.32,20.31,35.15
2020-02-05T11:41:13Z,12.14,20.17,49.94
2020-02-05T11:39:19Z,11.71,18.15,31.45
2020-02-05T11:37:24Z,11.97,24.75,41.45
2020-02-05T11:35:31Z,11.91,21.64,47.24
2020-02-05T11:33:37Z,12.37,18.77,24.39
2020-02-05T11:31:42Z,11.6,16.53,20.17
2020-02-05T11:29:47Z,12.03,18.56,30.74
2020-02-05T11:27:52Z,11.12,18.59,21.52
2020-02-05T11:25:59Z,10.33,15.97,30.58
2020-02-05T11:24:03Z,11.57,18.27,23.99
2020-02-05T11:22:08Z,12.39,22.2,40.26
2020-02-05T11:20:09Z,11.52,18.72,27.01
2020-02-05T11:15:55Z,11.25,18.96,40.71
2020-02-05T11:14:02Z,13.28,22.52,35.62
2020-02-05T11:12:07Z,12.29,22.01,38.82
2020-02-05T11:10:12Z,12.45,20.37,37.59
2020-02-05T11:08:01Z,12.56,21.28,59.25
2020-02-05T11:03:36Z,11.49,20.41,81.92
2020-02-05T10:56:59Z,11.77,20.1,27.93
2020-02-05T10:54:48Z,12.15,21.67,30.06
2020-02-05T10:52:52Z,11.05,18.05,46.36
2020-02-05T10:50:58Z,11.56,18.47,30.93
2020-02-05T10:49:03Z,12.09,19.32,47.14
2020-02-05T10:47:07Z,12.14,20.59,37.67
2020-02-05T10:45:12Z,11.97,20.44,53.12
2020-02-05T10:43:17Z,11.43,18.96,28.51
2020-02-05T10:41:22Z,11.62,18.83,23.66
2020-02-05T10:39:27Z,11.57,19.37,26.66
2020-02-05T10:37:32Z,10.56,16.44,60.55
2020-02-05T10:35:37Z,11.71,21.3,72.52
2020-02-05T10:33:42Z,11.17,19.65,27.98
2020-02-05T10:31:46Z,11.61,18.73,23.46
2020-02-05T10:29:47Z,11.97,20.23,70.36
2020-02-05T10:27:53Z,10.63,16.64,28.78
2020-02-05T10:25:59Z,11.11,21.09,34.73
2020-02-05T10:23:53Z,11.82,21.73,59.09
2020-02-05T10:21:58Z,11.53,17.79,31.51
2020-02-05T10:20:01Z,12.3,20.83,31.67
2020-02-05T10:18:03Z,11.81,19.6,53.24
2020-02-05T10:16:00Z,13.0,23.1,53.37
2020-02-05T10:10:49Z,12.51,21.55,47.94
2020-02-05T10:08:50Z,12.54,19.16,35.59
2020-02-05T10:06:55Z,11.31,19.9,37.51
2020-02-05T10:05:01Z,12.47,19.58,28.84
2020-02-05T10:03:07Z,11.72,22.33,51.03
2020-02-05T10:01:13Z,12.64,23.28,63.44
2020-02-05T09:59:17Z,13.66,24.17,69.26
2020-02-05T09:57:22Z,14.05,28.15,51.87
2020-02-05T09:55:28Z,12.56,18.83,28.08
2020-02-05T09:53:30Z,13.06,25.19,40.6
2020-02-05T09:51:32Z,13.17,21.42,98.8
2020-02-05T09:49:35Z,16.54,27.79,53.1
2020-02-05T09:47:39Z,16.13,28.0,49.5
2020-02-05T09:45:30Z,16.71,34.33,74.61
2020-02-05T09:43:36Z,17.36,30.31,84.38
2020-02-05T09:41:36Z,16.35,27.15,61.28
2020-02-05T09:39:34Z,15.04,26.36,39.56
2020-02-05T09:37:38Z,17.9,33.43,46.43
2020-02-05T09:35:42Z,17.87,34.43,77.4
2020-02-05T09:33:43Z,17.21,31.38,47.37
2020-02-05T09:31:48Z,21.01,37.65,90.50999
2020-02-05T09:29:53Z,18.84,35.92,69.67
2020-02-05T09:27:59Z,22.03,40.69,55.87
2020-02-05T09:26:04Z,22.35,40.99,81.45
2020-02-05T09:24:09Z,19.83,37.5,81.53
2020-02-05T09:22:15Z,20.33,37.46,55.28
2020-02-05T09:20:21Z,20.46,38.11,66.72
2020-02-05T09:18:26Z,21.31,36.84,77.43
2020-02-05T09:16:32Z,22.03,43.74,108.88
2020-02-05T09:14:32Z,24.22,43.98,75.63
2020-02-05T09:12:34Z,24.29,47.2,90.5
2020-02-05T09:10:40Z,22.91,42.46,83.93999
2020-02-05T09:08:45Z,22.83,40.42,61.5
2020-02-05T09:06:50Z,24.39,43.7,88.07
2020-02-05T09:04:47Z,22.79,38.4,65.78
2020-02-05T09:02:44Z,23.79,41.68,77.42
